Year,Capital,Equipment,Renovation,Permits,Rent,Ingredients,Utilities,Staff Income,Other Monthly Expense
2028,1350600,506475,506475,56275,27012,112550,33765,90040,18008
2028,1406875,529496,529496,56275,28216,117665,35300,92086,18340
2028,1463150,552517,552517,56275,29421,122781,36835,94132,18672
2028,1519425,575538,575538,56275,30625,127896,38371,96178,19004
2028,1575700,598559,598559,56275,31829,133012,39906,98225,19336
2028,1631975,621580,621580,56275,33033,138127,41441,100271,19668
2028,1688250,644601,644601,56275,34238,143242,42976,102317,20000
2028,1744525,667622,667622,56275,35442,148358,44511,104363,20332
2028,1800800,690643,690643,56275,36646,153473,46046,106409,20664
2028,1857075,713664,713664,56275,37851,158589,47582,108455,20996
2028,1913350,736685,736685,56275,39055,163704,49117,110502,21328
2028,1969625,759706,759706,56275,40259,168819,50652,112548,21660
2028,2025900,782727,782727,56275,41463,173935,52187,114594,21992
2028,2082175,805748,805748,56275,42668,179050,53722,116640,22324
2028,2138450,828769,828769,56275,43872,184166,55258,118686,22656
2028,2194725,851790,851790,56275,45076,189281,56793,120732,22988
2028,2251000,874811,874811,56275,46281,194396,58328,122779,23320
2028,2307275,897832,897832,56275,47485,199512,59863,124825,23652
2028,2363550,920853,920853,56275,48689,204627,61398,126871,23984
2028,2419825,943874,943874,56275,49893,209743,62933,128917,24316
2028,2476100,966895,966895,56275,51098,214858,64469,130963,24648
2028,2532375,989916,989916,56275,52302,219973,66004,133009,24980
2028,2588650,1012936,1012936,56275,53506,225089,67539,135055,25312
2028,2644925,1035957,1035957,56275,54711,230204,69074,137102,25645
2028,2701200,1058978,1058978,56275,55915,235320,70609,139148,25977
2028,2757475,1081999,1081999,56275,57119,240435,72145,141194,26309
2028,2813750,1105020,1105020,56275,58323,245550,73680,143240,26641
2028,2870025,1128041,1128041,56275,59528,250666,75215,145286,26973
2028,2926300,1151062,1151062,56275,60732,255781,76750,147332,27305
2028,2982575,1174083,1174083,56275,61936,260897,78285,149379,27637
2028,3038850,1197104,1197104,56275,63141,266012,79820,151425,27969
2028,3095125,1220125,1220125,56275,64345,271127,81356,153471,28301
2028,3151400,1243146,1243146,56275,65549,276243,82891,155517,28633
2028,3207675,1266167,1266167,56275,66753,281358,84426,157563,28965
2028,3263950,1289188,1289188,56275,67958,286474,85961,159609,29297
2028,3320225,1312209,1312209,56275,69162,291589,87496,161656,29629
2028,3376500,1335230,1335230,56275,70366,296704,89032,163702,29961
2028,3432775,1358251,1358251,56275,71571,301820,90567,165748,30293
2028,3489050,1381272,1381272,56275,72775,306935,92102,167794,30625
2028,3545325,1404293,1404293,56275,73979,312051,93637,169840,30957
2028,3601600,1427314,1427314,56275,75183,317166,95172,171886,31289
2028,3657875,1450335,1450335,56275,76388,322281,96707,173933,31621
2028,3714150,1473356,1473356,56275,77592,327397,98243,175979,31953
2028,3770425,1496377,1496377,56275,78796,332512,99778,178025,32285
2028,3826700,1519398,1519398,56275,80001,337627,101313,180071,32617
2028,3882975,1542419,1542419,56275,81205,342743,102848,182117,32949
2028,3939250,1565440,1565440,56275,82409,347858,104383,184163,33281
2028,3995525,1588461,1588461,56275,83613,352974,105919,186209,33613
2028,4051800,1611482,1611482,56275,84818,358089,107454,188256,33945
2028,4108075,1634503,1634503,56275,86022,363204,108989,190302,34277
2028,4164350,1657524,1657524,56275,87226,368320,110524,192348,34609
2028,4220625,1680545,1680545,56275,88431,373435,112059,194394,34941
2028,4276900,1703566,1703566,56275,89635,378551,113594,196440,35273
2028,4333175,1726587,1726587,56275,90839,383666,115130,198486,35605
2028,4389450,1749608,1749608,56275,92043,388781,116665,200533,35937
2028,4445725,1772629,1772629,56275,93248,393897,118200,202579,36269
2028,4502000,1795650,1795650,56275,94452,399012,119735,204625,36601
2028,4558275,1818671,1818671,56275,95656,404128,121270,206671,36933
2028,4614550,1841692,1841692,56275,96861,409243,122806,208717,37265
2028,4670825,1864713,1864713,56275,98065,414358,124341,210763,37597
2028,4727100,1887734,1887734,56275,99269,419474,125876,212810,37929
2028,4783375,1910755,1910755,56275,100473,424589,127411,214856,38261
2028,4839650,1933776,1933776,56275,101678,429705,128946,216902,38593
2028,4895925,1956797,1956797,56275,102882,434820,130481,218948,38925
2028,4952200,1979818,1979818,56275,104086,439935,132017,220994,39257
2028,5008475,2002839,2002839,56275,105291,445051,133552,223040,39589
2028,5064750,2025859,2025859,56275,106495,450166,135087,225086,39921
2028,5121025,2048880,2048880,56275,107699,455282,136622,227133,40254
2028,5177300,2071901,2071901,56275,108903,460397,138157,229179,40586
2028,5233575,2094922,2094922,56275,110108,465512,139693,231225,40918
2028,5289850,2117943,2117943,56275,111312,470628,141228,233271,41250
2028,5346125,2140964,2140964,56275,112516,475743,142763,235317,41582
2028,5402400,2163985,2163985,56275,113721,480859,144298,237363,41914
2028,5458675,2187006,2187006,56275,114925,485974,145833,239410,42246
2028,5514950,2210027,2210027,56275,116129,491089,147368,241456,42578
2028,5571225,2233048,2233048,56275,117333,496205,148904,243502,42910
2028,5627500,2256069,2256069,56275,118538,501320,150439,245548,43242
2028,5683775,2279090,2279090,56275,119742,506436,151974,247594,43574
