Year,Capital,Equipment,Renovation,Permits,Rent,Ingredients,Utilities,Staff Income,Other Monthly Expense
2029,1391129,521673,521673,57964,27823,115927,34778,92742,18548
2029,1449093,545385,545385,57964,29063,121196,36359,94849,18890
2029,1507056,569097,569097,57964,30303,126465,37941,96957,19232
2029,1565020,592809,592809,57964,31544,131734,39522,99065,19574
2029,1622984,616520,616520,57964,32784,137003,41103,101172,19916
2029,1680947,640232,640232,57964,34025,142272,42684,103280,20258
2029,1738911,663944,663944,57964,35265,147541,44266,105387,20600
2029,1796875,687656,687656,57964,36506,152810,45847,107495,20942
2029,1854838,711368,711368,57964,37746,158079,47428,109602,21284
2029,1912802,735079,735079,57964,38986,163348,49009,111710,21626
2029,1970766,758791,758791,57964,40227,168616,50591,113818,21968
2029,2028730,782503,782503,57964,41467,173885,52172,115925,22310
2029,2086693,806215,806215,57964,42708,179154,53753,118033,22652
2029,2144657,829927,829927,57964,43948,184423,55334,120140,22994
2029,2202621,853638,853638,57964,45189,189692,56916,122248,23336
2029,2260584,877350,877350,57964,46429,194961,58497,124355,23678
2029,2318548,901062,901062,57964,47669,200230,60078,126463,24020
2029,2376512,924774,924774,57964,48910,205499,61659,128570,24362
2029,2434475,948486,948486,57964,50150,210768,63241,130678,24704
2029,2492439,972197,972197,57964,51391,216037,64822,132786,25046
2029,2550403,995909,995909,57964,52631,221305,66403,134893,25388
2029,2608367,1019621,1019621,57964,53871,226574,67984,137001,25730
2029,2666330,1043333,1043333,57964,55112,231843,69566,139108,26072
2029,2724294,1067044,1067044,57964,56352,237112,71147,141216,26414
2029,2782258,1090756,1090756,57964,57593,242381,72728,143323,26756
2029,2840221,1114468,1114468,57964,58833,247650,74309,145431,27098
2029,2898185,1138180,1138180,57964,60074,252919,75891,147538,27440
2029,2956149,1161892,1161892,57964,61314,258188,77472,149646,27782
2029,3014112,1185603,1185603,57964,62554,263457,79053,151754,28124
2029,3072076,1209315,1209315,57964,63795,268726,80634,153861,28466
2029,3130040,1233027,1233027,57964,65035,273994,82216,155969,28808
2029,3188004,1256739,1256739,57964,66276,279263,83797,158076,29150
2029,3245967,1280451,1280451,57964,67516,284532,85378,160184,29492
2029,3303931,1304162,1304162,57964,68757,289801,86959,162291,29834
2029,3361895,1327874,1327874,57964,69997,295070,88541,164399,30176
2029,3419858,1351586,1351586,57964,71237,300339,90122,166507,30518
2029,3477822,1375298,1375298,57964,72478,305608,91703,168614,30860
2029,3535786,1399010,1399010,57964,73718,310877,93284,170722,31202
2029,3593749,1422721,1422721,57964,74959,316146,94866,172829,31544
2029,3651713,1446433,1446433,57964,76199,321415,96447,174937,31886
2029,3709677,1470145,1470145,57964,77440,326683,98028,177044,32228
2029,3767641,1493857,1493857,57964,78680,331952,99609,179152,32570
2029,3825604,1517568,1517568,57964,79920,337221,101191,181259,32912
2029,3883568,1541280,1541280,57964,81161,342490,102772,183367,33254
2029,3941532,1564992,1564992,57964,82401,347759,104353,185475,33596
2029,3999495,1588704,1588704,57964,83642,353028,105934,187582,33938
2029,4057459,1612416,1612416,57964,84882,358297,107516,189690,34280
2029,4115423,1636127,1636127,57964,86122,363566,109097,191797,34622
2029,4173386,1659839,1659839,57964,87363,368835,110678,193905,34964
2029,4231350,1683551,1683551,57964,88603,374104,112259,196012,35306
2029,4289314,1707263,1707263,57964,89844,379372,113841,198120,35648
2029,4347278,1730975,1730975,57964,91084,384641,115422,200227,35990
2029,4405241,1754686,1754686,57964,92325,389910,117003,202335,36332
2029,4463205,1778398,1778398,57964,93565,395179,118584,204443,36674
2029,4521169,1802110,1802110,57964,94805,400448,120166,206550,37016
2029,4579132,1825822,1825822,57964,96046,405717,121747,208658,37358
2029,4637096,1849534,1849534,57964,97286,410986,123328,210765,37700
2029,4695060,1873245,1873245,57964,98527,416255,124909,212873,38042
2029,4753023,1896957,1896957,57964,99767,421524,126491,214980,38384
2029,4810987,1920669,1920669,57964,101008,426793,128072,217088,38726
2029,4868951,1944381,1944381,57964,102248,432061,129653,219196,39068
2029,4926915,1968093,1968093,57964,103488,437330,131234,221303,39410
2029,4984878,1991804,1991804,57964,104729,442599,132816,223411,39752
2029,5042842,2015516,2015516,57964,105969,447868,134397,225518,40093
2029,5100806,2039228,2039228,57964,107210,453137,135978,227626,40435
2029,5158769,2062940,2062940,57964,108450,458406,137559,229733,40777
2029,5216733,2086651,2086651,57964,109691,463675,139141,231841,41119
2029,5274697,2110363,2110363,57964,110931,468944,140722,233948,41461
2029,5332660,2134075,2134075,57964,112171,474213,142303,236056,41803
2029,5390624,2157787,2157787,57964,113412,479482,143884,238164,42145
2029,5448588,2181499,2181499,57964,114652,484750,145466,240271,42487
2029,5506552,2205210,2205210,57964,115893,490019,147047,242379,42829
2029,5564515,2228922,2228922,57964,117133,495288,148628,244486,43171
2029,5622479,2252634,2252634,57964,118373,500557,150209,246594,43513
2029,5680443,2276346,2276346,57964,119614,505826,151791,248701,43855
2029,5738406,2300058,2300058,57964,120854,511095,153372,250809,44197
2029,5796370,2323769,2323769,57964,122095,516364,154953,252916,44539
2029,5854334,2347481,2347481,57964,123335,521633,156534,255024,44881
2029,5912297,2371193,2371193,57964,124576,526902,158116,257132,45223
2029,5970261,2394905,2394905,57964,125816,532171,159697,259239,45565
2029,6028225,2418617,2418617,57964,127056,537439,161278,261347,45907
2029,6086189,2442328,2442328,57964,128297,542708,162859,263454,46249
2029,6144152,2466040,2466040,57964,129537,547977,164441,265562,46591
2029,6202116,2489752,2489752,57964,130778,553246,166022,267669,46933
2029,6260080,2513464,2513464,57964,132018,558515,167603,269777,47275
2029,6318043,2537175,2537175,57964,133259,563784,169184,271885,47617
2029,6376007,2560887,2560887,57964,134499,569053,170766,273992,47959
2029,6433971,2584599,2584599,57964,135739,574322,172347,276100,48301
2029,6491934,2608311,2608311,57964,136980,579591,173928,278207,48643
