Year,Capital,Equipment,Renovation,Permits,Rent,Ingredients,Utilities,Staff Income,Other Monthly Expense
2026,1273080,477405,477405,53045,25462,106090,31827,84872,16974
2026,1326125,499105,499105,53045,26597,110912,33274,86801,17287
2026,1379170,520804,520804,53045,27732,115734,34721,88729,17600
2026,1432215,542504,542504,53045,28867,120555,36168,90658,17913
2026,1485260,564204,564204,53045,30002,125377,37615,92587,18226
2026,1538305,585903,585903,53045,31137,130199,39062,94516,18539
2026,1591350,607603,607603,53045,32273,135021,40509,96444,18852
2026,1644395,629303,629303,53045,33408,139843,41956,98373,19165
2026,1697440,651002,651002,53045,34543,144664,43404,100302,19478
2026,1750485,672702,672702,53045,35678,149486,44851,102230,19791
2026,1803530,694401,694401,53045,36813,154308,46298,104159,20104
2026,1856575,716101,716101,53045,37948,159130,47745,106088,20417
2026,1909620,737801,737801,53045,39084,163951,49192,108017,20730
2026,1962665,759500,759500,53045,40219,168773,50639,109945,21043
2026,2015710,781200,781200,53045,41354,173595,52086,111874,21356
2026,2068755,802900,802900,53045,42489,178417,53533,113803,21669
2026,2121800,824599,824599,53045,43624,183239,54980,115731,21982
2026,2174845,846299,846299,53045,44759,188060,56427,117660,22295
2026,2227890,867999,867999,53045,45895,192882,57874,119589,22608
2026,2280935,889698,889698,53045,47030,197704,59321,121518,22921
2026,2333980,911398,911398,53045,48165,202526,60768,123446,23234
2026,2387025,933098,933098,53045,49300,207348,62215,125375,23547
2026,2440070,954797,954797,53045,50435,212169,63662,127304,23860
2026,2493115,976497,976497,53045,51570,216991,65110,129232,24173
2026,2546160,998197,998197,53045,52706,221813,66557,131161,24486
2026,2599205,1019896,1019896,53045,53841,226635,68004,133090,24799
2026,2652250,1041596,1041596,53045,54976,231457,69451,135019,25112
2026,2705295,1063296,1063296,53045,56111,236278,70898,136947,25424
2026,2758340,1084995,1084995,53045,57246,241100,72345,138876,25737
2026,2811385,1106695,1106695,53045,58381,245922,73792,140805,26050
2026,2864430,1128394,1128394,53045,59516,250744,75239,142733,26363
2026,2917475,1150094,1150094,53045,60652,255566,76686,144662,26676
2026,2970520,1171794,1171794,53045,61787,260387,78133,146591,26989
2026,3023565,1193493,1193493,53045,62922,265209,79580,148520,27302
2026,3076610,1215193,1215193,53045,64057,270031,81027,150448,27615
2026,3129655,1236893,1236893,53045,65192,274853,82474,152377,27928
2026,3182700,1258592,1258592,53045,66327,279674,83921,154306,28241
2026,3235745,1280292,1280292,53045,67463,284496,85369,156234,28554
2026,3288790,1301992,1301992,53045,68598,289318,86816,158163,28867
2026,3341835,1323691,1323691,53045,69733,294140,88263,160092,29180
2026,3394880,1345391,1345391,53045,70868,298962,89710,162021,29493
2026,3447925,1367091,1367091,53045,72003,303783,91157,163949,29806
2026,3500970,1388790,1388790,53045,73138,308605,92604,165878,30119
2026,3554015,1410490,1410490,53045,74274,313427,94051,167807,30432
2026,3607060,1432190,1432190,53045,75409,318249,95498,169736,30745
2026,3660105,1453889,1453889,53045,76544,323071,96945,171664,31058
2026,3713150,1475589,1475589,53045,77679,327892,98392,173593,31371
2026,3766195,1497288,1497288,53045,78814,332714,99839,175522,31684
2026,3819240,1518988,1518988,53045,79949,337536,101286,177450,31997
2026,3872285,1540688,1540688,53045,81085,342358,102733,179379,32310
2026,3925330,1562387,1562387,53045,82220,347180,104180,181308,32623
2026,3978375,1584087,1584087,53045,83355,352001,105627,183237,32936
2026,4031420,1605787,1605787,53045,84490,356823,107075,185165,33249
2026,4084465,1627486,1627486,53045,85625,361645,108522,187094,33562
2026,4137510,1649186,1649186,53045,86760,366467,109969,189023,33875
2026,4190555,1670886,1670886,53045,87896,371288,111416,190951,34188
2026,4243600,1692585,1692585,53045,89031,376110,112863,192880,34500
2026,4296645,1714285,1714285,53045,90166,380932,114310,194809,34813
2026,4349690,1735985,1735985,53045,91301,385754,115757,196738,35126
2026,4402735,1757684,1757684,53045,92436,390576,117204,198666,35439
2026,4455780,1779384,1779384,53045,93571,395397,118651,200595,35752
2026,4508825,1801084,1801084,53045,94707,400219,120098,202524,36065
2026,4561870,1822783,1822783,53045,95842,405041,121545,204452,36378
2026,4614915,1844483,1844483,53045,96977,409863,122992,206381,36691
2026,4667960,1866183,1866183,53045,98112,414685,124439,208310,37004
2026,4721005,1887882,1887882,53045,99247,419506,125886,210239,37317
2026,4774050,1909582,1909582,53045,100382,424328,127333,212167,37630
2026,4827095,1931281,1931281,53045,101518,429150,128781,214096,37943
2026,4880140,1952981,1952981,53045,102653,433972,130228,216025,38256
2026,4933185,1974681,1974681,53045,103788,438794,131675,217953,38569
2026,4986230,1996380,1996380,53045,104923,443615,133122,219882,38882
2026,5039275,2018080,2018080,53045,106058,448437,134569,221811,39195
2026,5092320,2039780,2039780,53045,107193,453259,136016,223740,39508
2026,5145365,2061479,2061479,53045,108328,458081,137463,225668,39821
2026,5198410,2083179,2083179,53045,109464,462902,138910,227597,40134
2026,5251455,2104879,2104879,53045,110599,467724,140357,229526,40447
2026,5304500,2126578,2126578,53045,111734,472546,141804,231454,40760
2026,5357545,2148278,2148278,53045,112869,477368,143251,233383,41073
2026,5410590,2169978,2169978,53045,114004,482190,144698,235312,41386
2026,5463635,2191677,2191677,53045,115139,487011,146145,237241,41699
2026,5516680,2213377,2213377,53045,116275,491833,147592,239169,42012
2026,5569725,2235077,2235077,53045,117410,496655,149039,241098,42325
2026,5622770,2256776,2256776,53045,118545,501477,150487,243027,42638
2026,5675815,2278476,2278476,53045,119680,506299,151934,244955,42951
2026,5728860,2300175,2300175,53045,120815,511120,153381,246884,43264
2026,5781905,2321875,2321875,53045,121950,515942,154828,248813,43576
2026,5834950,2343575,2343575,53045,123086,520764,156275,250742,43889
2026,5887995,2365274,2365274,53045,124221,525586,157722,252670,44202
2026,5941040,2386974,2386974,53045,125356,530408,159169,254599,44515
