Year,Capital,Equipment,Renovation,Permits,Rent,Ingredients,Utilities,Staff Income,Other Monthly Expense
2024,1200000,450000,450000,50000,24000,100000,30000,80000,16000
2024,1250000,470454,470454,50000,25070,104545,31364,81818,16295
2024,1300000,490908,490908,50000,26140,109090,32728,83636,16590
2024,1350000,511362,511362,50000,27210,113635,34092,85454,16885
2024,1400000,531816,531816,50000,28280,118180,35456,87272,17180
2024,1450000,552270,552270,50000,29350,122725,36820,89090,17475
2024,1500000,572724,572724,50000,30420,127270,38184,90908,17770
2024,1550000,593178,593178,50000,31490,131815,39548,92726,18065
2024,1600000,613632,613632,50000,32560,136360,40912,94544,18360
2024,1650000,634086,634086,50000,33630,140905,42276,96362,18655
2024,1700000,654540,654540,50000,34700,145450,43640,98180,18950
2024,1750000,674994,674994,50000,35770,149995,45004,99998,19245
2024,1800000,695448,695448,50000,36840,154540,46368,101816,19540
2024,1850000,715902,715902,50000,37910,159085,47732,103634,19835
2024,1900000,736356,736356,50000,38980,163630,49096,105452,20130
2024,1950000,756810,756810,50000,40050,168175,50460,107270,20425
2024,2000000,777264,777264,50000,41120,172720,51824,109088,20720
2024,2050000,797718,797718,50000,42190,177265,53188,110906,21015
2024,2100000,818172,818172,50000,43260,181810,54552,112724,21310
2024,2150000,838626,838626,50000,44330,186355,55916,114542,21605
2024,2200000,859080,859080,50000,45400,190900,57280,116360,21900
2024,2250000,879534,879534,50000,46470,195445,58644,118178,22195
2024,2300000,899988,899988,50000,47540,199990,60008,119996,22490
2024,2350000,920442,920442,50000,48610,204535,61372,121814,22785
2024,2400000,940896,940896,50000,49680,209080,62736,123632,23080
2024,2450000,961350,961350,50000,50750,213625,64100,125450,23375
2024,2500000,981804,981804,50000,51820,218170,65464,127268,23670
2024,2550000,1002258,1002258,50000,52890,222715,66828,129086,23965
2024,2600000,1022712,1022712,50000,53960,227260,68192,130904,24260
2024,2650000,1043166,1043166,50000,55030,231805,69556,132722,24555
2024,2700000,1063620,1063620,50000,56100,236350,70920,134540,24850
2024,2750000,1084074,1084074,50000,57170,240895,72284,136358,25145
2024,2800000,1104528,1104528,50000,58240,245440,73648,138176,25440
2024,2850000,1124982,1124982,50000,59310,249985,75012,139994,25735
2024,2900000,1145436,1145436,50000,60380,254530,76376,141812,26030
2024,2950000,1165890,1165890,50000,61450,259075,77740,143630,26325
2024,3000000,1186344,1186344,50000,62520,263620,79104,145448,26620
2024,3050000,1206798,1206798,50000,63590,268165,80468,147266,26915
2024,3100000,1227252,1227252,50000,64660,272710,81832,149084,27210
2024,3150000,1247706,1247706,50000,65730,277255,83196,150902,27505
2024,3200000,1268160,1268160,50000,66800,281800,84560,152720,27800
2024,3250000,1288614,1288614,50000,67870,286345,85924,154538,28095
2024,3300000,1309068,1309068,50000,68940,290890,87288,156356,28390
2024,3350000,1329522,1329522,50000,70010,295435,88652,158174,28685
2024,3400000,1349976,1349976,50000,71080,299980,90016,159992,28980
2024,3450000,1370430,1370430,50000,72150,304525,91380,161810,29275
2024,3500000,1390884,1390884,50000,73220,309070,92744,163628,29570
2024,3550000,1411338,1411338,50000,74290,313615,94108,165446,29865
2024,3600000,1431792,1431792,50000,75360,318160,95472,167264,30160
2024,3650000,1452246,1452246,50000,76430,322705,96836,169082,30455
2024,3700000,1472700,1472700,50000,77500,327250,98200,170900,30750
2024,3750000,1493154,1493154,50000,78570,331795,99564,172718,31045
2024,3800000,1513608,1513608,50000,79640,336340,100928,174536,31340
2024,3850000,1534062,1534062,50000,80710,340885,102292,176354,31635
2024,3900000,1554516,1554516,50000,81780,345430,103656,178172,31930
2024,3950000,1574970,1574970,50000,82850,349975,105020,179990,32225
2024,4000000,1595424,1595424,50000,83920,354520,106384,181808,32520
2024,4050000,1615878,1615878,50000,84990,359065,107748,183626,32815
2024,4100000,1636332,1636332,50000,86060,363610,109112,185444,33110
2024,4150000,1656786,1656786,50000,87130,368155,110476,187262,33405
2024,4200000,1677240,1677240,50000,88200,372700,111840,189080,33700
2024,4250000,1697694,1697694,50000,89270,377245,113204,190898,33995
2024,4300000,1718148,1718148,50000,90340,381790,114568,192716,34290
2024,4350000,1738602,1738602,50000,91410,386335,115932,194534,34585
2024,4400000,1759056,1759056,50000,92480,390880,117296,196352,34880
2024,4450000,1779510,1779510,50000,93550,395425,118660,198170,35175
2024,4500000,1799964,1799964,50000,94620,399970,120024,199988,35470
2024,4550000,1820418,1820418,50000,95690,404515,121388,201806,35765
2024,4600000,1840872,1840872,50000,96760,409060,122752,203624,36060
2024,4650000,1861326,1861326,50000,97830,413605,124116,205442,36355
2024,4700000,1881780,1881780,50000,98900,418150,125480,207260,36650
2024,4750000,1902234,1902234,50000,99970,422695,126844,209078,36945
2024,4800000,1922688,1922688,50000,101040,427240,128208,210896,37240
2024,4850000,1943142,1943142,50000,102110,431785,129572,212714,37535
2024,4900000,1963596,1963596,50000,103180,436330,130936,214532,37830
2024,4950000,1984050,1984050,50000,104250,440875,132300,216350,38125
2024,5000000,2004504,2004504,50000,105320,445420,133664,218168,38420
2024,5050000,2024958,2024958,50000,106390,449965,135028,219986,38715
2024,5100000,2045412,2045412,50000,107460,454510,136392,221804,39010
2024,5150000,2065866,2065866,50000,108530,459055,137756,223622,39305
2024,5200000,2086320,2086320,50000,109600,463600,139120,225440,39600
2024,5250000,2106774,2106774,50000,110670,468145,140484,227258,39895
2024,5300000,2127228,2127228,50000,111740,472690,141848,229076,40190
2024,5350000,2147682,2147682,50000,112810,477235,143212,230894,40485
2024,5400000,2168136,2168136,50000,113880,481780,144576,232712,40780
2024,5450000,2188590,2188590,50000,114950,486325,145940,234530,41075
2024,5500000,2209044,2209044,50000,116020,490870,147304,236348,41370
2024,5550000,2229498,2229498,50000,117090,495415,148668,238166,41665
2024,5600000,2249952,2249952,50000,118160,499960,150032,239984,41960
