Year,Capital,Equipment,Renovation,Permits,Rent,Ingredients,Utilities,Staff Income,Other Monthly Expense
2027,1311272,491727,491727,54636,26225,109273,32782,87418,17484
2027,1365909,514078,514078,54636,27395,114239,34272,89405,17806
2027,1420545,536428,536428,54636,28564,119206,35763,91391,18128
2027,1475181,558779,558779,54636,29733,124172,37253,93378,18451
2027,1529818,581130,581130,54636,30902,129138,38744,95364,18773
2027,1584454,603480,603480,54636,32072,134105,40234,97351,19095
2027,1639091,625831,625831,54636,33241,139071,41725,99338,19418
2027,1693727,648182,648182,54636,34410,144038,43215,101324,19740
2027,1748363,670532,670532,54636,35579,149004,44706,103311,20062
2027,1803000,692883,692883,54636,36748,153971,46196,105297,20385
2027,1857636,715234,715234,54636,37918,158937,47687,107284,20707
2027,1912272,737584,737584,54636,39087,163904,49177,109271,21030
2027,1966909,759935,759935,54636,40256,168870,50668,111257,21352
2027,2021545,782285,782285,54636,41425,173836,52158,113244,21674
2027,2076181,804636,804636,54636,42594,178803,53649,115230,21997
2027,2130818,826987,826987,54636,43764,183769,55139,117217,22319
2027,2185454,849337,849337,54636,44933,188736,56629,119203,22641
2027,2240090,871688,871688,54636,46102,193702,58120,121190,22964
2027,2294727,894039,894039,54636,47271,198669,59610,123177,23286
2027,2349363,916389,916389,54636,48441,203635,61101,125163,23608
2027,2403999,938740,938740,54636,49610,208602,62591,127150,23931
2027,2458636,961091,961091,54636,50779,213568,64082,129136,24253
2027,2513272,983441,983441,54636,51948,218534,65572,131123,24575
2027,2567908,1005792,1005792,54636,53117,223501,67063,133109,24898
2027,2622545,1028142,1028142,54636,54287,228467,68553,135096,25220
2027,2677181,1050493,1050493,54636,55456,233434,70044,137083,25542
2027,2731818,1072844,1072844,54636,56625,238400,71534,139069,25865
2027,2786454,1095194,1095194,54636,57794,243367,73025,141056,26187
2027,2841090,1117545,1117545,54636,58964,248333,74515,143042,26510
2027,2895727,1139896,1139896,54636,60133,253300,76006,145029,26832
2027,2950363,1162246,1162246,54636,61302,258266,77496,147015,27154
2027,3004999,1184597,1184597,54636,62471,263232,78987,149002,27477
2027,3059636,1206948,1206948,54636,63640,268199,80477,150989,27799
2027,3114272,1229298,1229298,54636,64810,273165,81968,152975,28121
2027,3168908,1251649,1251649,54636,65979,278132,83458,154962,28444
2027,3223545,1273999,1273999,54636,67148,283098,84949,156948,28766
2027,3278181,1296350,1296350,54636,68317,288065,86439,158935,29088
2027,3332817,1318701,1318701,54636,69487,293031,87930,160922,29411
2027,3387454,1341051,1341051,54636,70656,297998,89420,162908,29733
2027,3442090,1363402,1363402,54636,71825,302964,90911,164895,30055
2027,3496726,1385753,1385753,54636,72994,307930,92401,166881,30378
2027,3551363,1408103,1408103,54636,74163,312897,93891,168868,30700
